,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_buffer_size,params_exploration_fraction,params_gamma,params_gradient_steps,params_learning_rate,params_learning_starts,params_max_grad_norm,params_net_arch,params_target_update_interval,params_tau,params_train_freq,user_attrs_gamma,state
80,80,-1019.1059237,2025-01-18 07:06:43.912155,2025-01-18 07:06:50.410572,0 days 00:00:06.498417,tanh,10,6,0.14570297243539757,0.9962027211007485,1,6.209011311879174e-05,10,3.6652965976150202,tiny,6,0.8963951406900732,5,0.9962027211007485,PRUNED
81,81,-717.6210417,2025-01-18 07:06:50.411639,2025-01-18 07:06:56.795155,0 days 00:00:06.383516,tanh,8,6,0.09204896200608217,0.9922023841438017,3,1.3164091855365199e-05,7,3.8925793011985466,tiny,7,0.7870623345576624,111,0.9922023841438017,PRUNED
82,82,-615.1539239000001,2025-01-18 07:06:56.796217,2025-01-18 07:07:02.350895,0 days 00:00:05.554678,tanh,9,6,0.05388337911886883,0.98990135602784,3,1.6175445107688656e-05,6,3.7875682460622793,tiny,7,0.8018105900126317,106,0.98990135602784,PRUNED
83,83,-572.1239113,2025-01-18 07:07:02.351966,2025-01-18 07:07:08.364072,0 days 00:00:06.012106,tanh,8,6,0.10383386533761471,0.9920728952210021,3,2.1583099913127962e-05,7,4.026709127424073,tiny,7,0.8133074402204127,75,0.9920728952210021,PRUNED
84,84,-212.7806954,2025-01-18 07:07:08.364835,2025-01-18 07:07:13.926809,0 days 00:00:05.561974,tanh,7,5,0.06322435690251746,0.9857994658282436,3,1.4725712623334254e-05,8,4.695149167179496,tiny,7,0.7823324844759263,128,0.9857994658282436,PRUNED
85,85,-904.0075207,2025-01-18 07:07:13.928020,2025-01-18 07:07:20.890364,0 days 00:00:06.962344,tanh,8,6,0.07926377398359533,0.9429444028897005,3,3.5030683501590275e-05,8,3.4939635484963287,tiny,7,0.8694137243425378,84,0.9429444028897005,PRUNED
86,86,-390.3169008,2025-01-18 07:07:20.891879,2025-01-18 07:07:27.173308,0 days 00:00:06.281429,tanh,9,5,0.11434119238753061,0.994369954870819,3,1.0745516997482463e-05,9,4.353457026913079,tiny,7,0.771053882361441,94,0.994369954870819,PRUNED
87,87,-539.3266535,2025-01-18 07:07:27.174488,2025-01-18 07:07:32.727796,0 days 00:00:05.553308,tanh,8,6,0.13474171479708708,0.9214787522845849,4,0.00010914031907704053,5,4.979332375191817,tiny,3,0.9104773863908057,100,0.9214787522845849,PRUNED
88,88,-426.8552386,2025-01-18 07:07:32.728697,2025-01-18 07:07:38.587846,0 days 00:00:05.859149,relu,9,7,0.08552985052559234,0.9975994840791986,2,3.0283368417274977e-05,7,2.859064640317363,small,6,0.7934723917031072,198,0.9975994840791986,PRUNED
89,89,-290.406401,2025-01-18 07:07:38.589117,2025-01-18 07:07:49.536463,0 days 00:00:10.947346,tanh,10,6,0.15122990467093717,0.9834020349178055,4,0.001042778159410468,8,4.480972079275691,tiny,7,0.7582694152669508,108,0.9834020349178055,COMPLETE
90,90,-596.2056955999999,2025-01-18 07:07:49.537455,2025-01-18 07:07:55.792686,0 days 00:00:06.255231,tanh,8,6,0.48389103096117453,0.9993246424456758,3,0.0030472773595919423,9,3.8421465345032226,tiny,7,0.7779959433772166,118,0.9993246424456758,PRUNED
91,91,-350.64946640000005,2025-01-18 07:07:55.794051,2025-01-18 07:08:01.616832,0 days 00:00:05.822781,tanh,6,3,0.23415853949852716,0.987389444045755,3,0.011676842301784606,9,4.0132150077073,tiny,7,0.8847769752407751,173,0.987389444045755,PRUNED
92,92,-458.9098166,2025-01-18 07:08:01.617728,2025-01-18 07:08:07.980443,0 days 00:00:06.362715,tanh,7,3,0.3382210218555327,0.9598041007312292,3,0.005919708699993873,9,4.1959169165428065,tiny,7,0.890270347779461,184,0.9598041007312292,PRUNED
93,93,-183.25417190000002,2025-01-18 07:08:07.981398,2025-01-18 07:08:13.547360,0 days 00:00:05.565962,tanh,5,7,0.3169916511648676,0.9544566538129763,3,0.017773281276896327,6,4.585529536558072,tiny,7,0.8988281260850998,76,0.9544566538129763,PRUNED
94,94,-433.2100041,2025-01-18 07:08:13.548089,2025-01-18 07:08:19.256527,0 days 00:00:05.708438,tanh,7,3,0.2934888402440421,0.9479265192279103,3,0.007604010606434925,9,4.884949287987516,tiny,7,0.8807644742776657,90,0.9479265192279103,PRUNED
95,95,-513.4002654,2025-01-18 07:08:19.257384,2025-01-18 07:08:25.484981,0 days 00:00:06.227597,tanh,10,5,0.27179668390316203,0.9444339484174264,3,0.004746010141111802,9,4.381281389517995,tiny,3,0.8753414751084829,189,0.9444339484174264,PRUNED
