#{"t_start": 1736976260.7426088, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
475.0,4739,2476.983197
550.0,5043,2481.135546
550.0,5717,2485.840293
420.0,4609,2489.651629
510.0,5869,2494.633831
420.0,4980,2498.779864
390.0,5211,2503.234297
600.0,5705,2509.741242
240.0,3505,2512.755884
260.0,2585,2515.166424
310.0,5009,2519.440758
520.0,4583,2523.348954
450.0,4460,2527.189493
495.0,4439,2530.946592
525.0,3308,2533.799893
495.0,4573,2539.17128
470.0,4721,2543.019132
265.0,4580,2546.763375
365.0,4367,2550.446664
380.0,4357,2554.094594
345.0,3131,2571.352311
740.0,5277,2575.848318
305.0,3829,2579.050243
570.0,4873,2583.18546
475.0,4771,2587.256496
165.0,2327,2589.240024
375.0,4055,2592.712069
335.0,3585,2595.756591
260.0,3389,2600.190686
580.0,4571,2604.021603
695.0,4487,2607.74662
425.0,4623,2611.631011
300.0,3201,2614.330786
355.0,3717,2617.496051
470.0,4835,2621.612068
280.0,3851,2624.816803
460.0,4737,2628.794026
1060.0,9103,2638.355042
575.0,4167,2641.988241
350.0,4031,2645.476409
665.0,5084,2649.804292
805.0,5449,2654.46896
435.0,4061,2657.972413
725.0,3921,2678.569721
345.0,3261,2681.460318
495.0,4561,2685.296664
500.0,3705,2688.454364
300.0,3065,2691.146072
495.0,3749,2695.97924
800.0,6169,2701.235716
810.0,7829,2707.949355
690.0,4667,2712.001598
290.0,3233,2714.762359
370.0,3625,2717.922102
400.0,3923,2721.331382
780.0,5191,2727.317838
600.0,5787,2732.175067
525.0,4991,2736.420679
520.0,4297,2740.143581
525.0,4177,2743.773137
710.0,4877,2747.923401
400.0,4207,2751.520179
590.0,4133,2755.3702
425.0,4946,2761.26637
390.0,4763,2765.411365
610.0,5889,2783.657284
545.0,3375,2786.751579
565.0,4127,2791.924929
600.0,6523,2797.514109
600.0,6321,2802.966254
315.0,4677,2806.98316
425.0,4033,2810.492566
660.0,4209,2814.137157
490.0,3454,2817.164249
285.0,3970,2822.266126
260.0,2583,2824.617419
695.0,4461,2828.54074
480.0,4335,2832.403882
480.0,4679,2836.504139
635.0,4398,2840.408115
480.0,4826,2844.726782
420.0,5275,2849.326354
320.0,3101,2853.628801
530.0,4693,2857.651271
1070.0,9587,2866.005245
360.0,4323,2869.80753
540.0,4287,2873.598724
500.0,4407,2893.02095
575.0,5889,2897.927968
395.0,2437,2900.062356
725.0,4963,2904.577698
600.0,5607,2909.638892
565.0,5482,2915.935423
755.0,4605,2919.968666
620.0,3977,2923.43988
610.0,5013,2927.732233
1150.0,7335,2934.039244
550.0,4709,2938.083741
590.0,3095,2940.751628
275.0,2697,2943.147403
515.0,4381,2948.573388
380.0,5079,2952.989397
780.0,6715,2958.753091
770.0,4827,2962.900751
405.0,4535,2966.866811
440.0,3835,2970.210934
855.0,7963,2977.037851
895.0,4481,2982.456488
750.0,7833,3002.617448
730.0,5231,3007.261967
575.0,4877,3013.335731
665.0,4023,3016.781923
330.0,3263,3019.615502
110.0,1507,3020.881072
725.0,4663,3024.833306
550.0,4465,3028.602856
800.0,6357,3033.879642
615.0,3719,3036.990618
185.0,2203,3038.918722
495.0,4399,3044.240046
465.0,3833,3047.485586
505.0,5269,3051.988115
820.0,4463,3055.725892
405.0,4047,3059.103946
480.0,3957,3062.477103
450.0,3821,3065.803855
800.0,5563,3070.592722
230.0,2507,3074.350527
655.0,4077,3077.830101
330.0,3295,3080.709966
375.0,4231,3084.273077
1060.0,7065,3106.077667
405.0,3223,3108.888877
470.0,3919,3112.339479
525.0,4411,3116.825094
370.0,4229,3120.797097
210.0,2489,3123.195505
750.0,4175,3126.862055
545.0,5165,3131.400293
305.0,2845,3133.923318
355.0,2871,3138.002146
575.0,4591,3142.007484
560.0,3755,3145.29393
345.0,4283,3148.995167
1045.0,9203,3156.927342
800.0,5777,3161.946901
255.0,3010,3164.504778
395.0,4583,3170.059023
515.0,3985,3173.465988
475.0,4547,3177.401931
300.0,2505,3179.597229
610.0,4489,3183.569434
575.0,5273,3188.192303
610.0,3498,3191.228116
500.0,5011,3195.5251
755.0,6511,3212.13804
500.0,2949,3214.732363
620.0,3567,3217.811882
450.0,4685,3222.261192
550.0,3763,3225.545077
840.0,7387,3233.402509
545.0,3447,3236.737695
525.0,2967,3239.527433
805.0,4749,3243.741009
985.0,4545,3247.717195
380.0,3107,3250.468657
895.0,8783,3258.264839
915.0,7601,3266.589353
1145.0,8355,3273.834319
515.0,3733,3277.097008
1410.0,9021,3284.907345
600.0,5237,3289.443261
1065.0,7841,3297.742012
620.0,3797,3316.414022
725.0,4317,3320.032353
810.0,5547,3326.763269
525.0,4485,3330.76942
430.0,3985,3334.337101
530.0,4669,3338.497059
315.0,3003,3341.144812
805.0,5453,3345.880406
1220.0,8094,3353.005099
975.0,6033,3360.276797
235.0,2929,3362.9241
665.0,5031,3367.361274
410.0,2945,3369.961674
600.0,5249,3374.573191
115.0,2077,3376.43233
775.0,5224,3381.109255
450.0,3133,3383.90843
605.0,5563,3390.365459
495.0,4679,3394.50666
575.0,4387,3398.427609
800.0,5179,3403.000411
780.0,6435,3408.675856
975.0,8015,3428.892683
545.0,5501,3434.19145
600.0,4847,3438.5262
335.0,2841,3441.054862
830.0,5355,3445.823357
605.0,5761,3452.571464
345.0,3037,3455.295082
290.0,2775,3457.768443
1105.0,8244,3465.418907
645.0,3905,3468.887127
370.0,3435,3471.985988
625.0,3459,3475.381739
425.0,4287,3479.288845
315.0,2977,3482.823467
390.0,3737,3487.078456
725.0,4565,3491.175973
420.0,3537,3494.369739
565.0,3847,3497.806725
470.0,3979,3501.344332
505.0,4471,3505.407961
260.0,2629,3507.770039
335.0,3315,3510.762729
480.0,4653,3516.455798
410.0,2647,3518.831769
565.0,3051,3531.407266
455.0,3305,3534.362318
725.0,4545,3538.83329
450.0,3495,3542.003647
595.0,2604,3544.354599
600.0,4959,3550.365277
615.0,4549,3554.403901
800.0,5769,3559.44723
1110.0,7439,3566.039876
420.0,3541,3569.157671
945.0,6961,3575.380128
225.0,2363,3579.135646
225.0,2117,3581.038771
330.0,2930,3583.889911
570.0,5501,3588.835479
220.0,2003,3590.666093
725.0,3989,3594.282456
415.0,3847,3598.02485
780.0,4141,3601.70261
600.0,4361,3605.626631
500.0,3351,3610.2626
365.0,2871,3612.947851
645.0,4012,3616.63121
495.0,4401,3620.662351
375.0,3405,3623.810185
970.0,5705,3642.913155
365.0,3343,3646.12978
300.0,2903,3648.830692
545.0,3143,3651.685673
875.0,7177,3658.503806
300.0,3535,3661.717917
570.0,3938,3665.335438
375.0,2775,3667.807046
425.0,3634,3671.063513
545.0,2801,3675.140621
650.0,3885,3678.608677
390.0,3487,3681.728467
505.0,3242,3684.666665
490.0,3681,3687.955838
420.0,3379,3691.000903
570.0,5913,3696.212278
365.0,2626,3698.563824
375.0,3781,3702.084342
375.0,3268,3706.640817
500.0,2467,3708.893528
285.0,2681,3711.317482
500.0,3947,3714.872424
1040.0,7123,3721.604886
585.0,4647,3725.813454
415.0,3748,3729.149173
830.0,3353,3732.260486
405.0,3351,3736.867301
490.0,2736,3748.786942
210.0,3135,3751.622319
340.0,3231,3754.589917
470.0,2929,3757.315616
1110.0,7993,3765.05839
1290.0,6621,3772.44633
260.0,2499,3774.710648
305.0,2729,3777.119798
365.0,2753,3779.544317
210.0,4579,3783.728872
395.0,2751,3786.185757
315.0,2659,3788.553893
555.0,3335,3791.541261
70.0,1649,3793.017503
390.0,3515,3796.109997
245.0,3366,3800.674396
380.0,2696,3803.047699
450.0,4321,3806.82341
270.0,3041,3809.510604
515.0,2755,3811.906176
430.0,2476,3814.081308
365.0,2847,3816.607095
300.0,2855,3819.15467
315.0,2921,3821.769181
215.0,2741,3824.261189
500.0,2963,3827.050764
220.0,1945,3828.846427
720.0,5147,3835.061925
320.0,2569,3837.627989
395.0,3397,3840.738961
500.0,4425,3852.999329
335.0,2284,3855.021992
940.0,6047,3860.472189
290.0,2806,3864.54284
535.0,3113,3867.63097
305.0,2909,3870.307127
425.0,3380,3873.326315
335.0,2671,3875.721267
285.0,3673,3879.147316
520.0,4597,3883.23575
260.0,2997,3885.858559
365.0,2591,3888.174011
285.0,3005,3890.919052
330.0,2382,3894.584353
545.0,4687,3898.743189
345.0,3043,3901.494909
320.0,2721,3904.013475
325.0,2901,3906.609192
375.0,2686,3909.058761
600.0,5581,3913.948767
525.0,3659,3917.17365
310.0,2644,3919.570442
320.0,2813,3922.086285
440.0,3861,3927.135401
390.0,2845,3929.768915
605.0,4309,3933.611186
365.0,2917,3936.188807
355.0,2785,3938.708557
345.0,2755,3941.20839
365.0,2689,3943.667665
665.0,4724,3958.798414
525.0,4105,3962.436319
815.0,4177,3966.256802
525.0,3713,3969.598282
450.0,2885,3972.528528
755.0,5045,3977.066212
315.0,2451,3979.30099
440.0,3274,3982.274557
405.0,3588,3985.476785
345.0,2241,3989.035752
485.0,4213,3992.862488
975.0,4979,3997.270768
330.0,3287,4000.247036
455.0,3347,4003.488713
910.0,6435,4009.357209
465.0,3911,4012.860873
290.0,2664,4015.277779
300.0,2691,4017.872467
365.0,2829,4022.244465
250.0,3232,4025.322849
335.0,2241,4027.341214
490.0,2575,4029.692387
345.0,2754,4032.242144
305.0,3153,4035.085761
365.0,2420,4037.287971
310.0,2241,4039.33281
320.0,2604,4041.712723
490.0,3967,4045.289639
345.0,2763,4047.817454
295.0,2455,4051.584892
305.0,2567,4053.89719
335.0,2412,4064.391419
365.0,2957,4066.957792
335.0,2220,4069.003353
600.0,2652,4071.41359
535.0,2359,4073.589326
310.0,2847,4076.546882
615.0,3373,4079.65082
345.0,3255,4084.170316
690.0,2657,4086.623105
355.0,3273,4089.549907
545.0,3656,4092.845451
290.0,3021,4095.5651
930.0,4123,4099.221083
340.0,2220,4101.144166
310.0,3268,4104.020403
315.0,2656,4106.381733
350.0,2391,4108.541716
505.0,2455,4110.698226
800.0,4669,4116.340654
380.0,2455,4118.588472
365.0,2433,4120.842307
350.0,2631,4123.24465
370.0,2790,4125.763209
285.0,2412,4127.947983
285.0,2551,4130.279505
350.0,2565,4132.590645
495.0,2881,4135.180129
1015.0,6249,4140.679372
470.0,3097,4143.534049
325.0,2816,4147.551305
340.0,2476,4149.790457
335.0,2199,4151.763478
365.0,2199,4153.75304
335.0,3309,4156.644201
420.0,2563,4158.932911
445.0,2637,4168.619402
315.0,2476,4170.764474
600.0,4105,4174.397019
320.0,3011,4178.522134
685.0,2455,4180.63765
640.0,3479,4184.058116
230.0,2215,4185.99606
500.0,2455,4188.197917
390.0,2177,4190.130455
440.0,2969,4192.797629
1105.0,5624,4198.474587
435.0,3433,4201.631582
390.0,2716,4204.180693
860.0,5459,4210.599086
320.0,2455,4212.798459
605.0,2135,4214.772467
435.0,2896,4217.32079
515.0,2901,4219.905729
375.0,2649,4222.4001
335.0,2596,4224.738839
555.0,2749,4227.165332
345.0,2369,4229.259551
320.0,3381,4232.193915
480.0,3303,4235.065508
630.0,4841,4239.163257
540.0,2476,4242.90494
595.0,2583,4245.216858
410.0,2156,4247.071064
610.0,4727,4251.160312
565.0,3661,4254.496229
370.0,3072,4257.261434
320.0,3129,4260.069119
455.0,4737,4275.445216
420.0,2529,4277.617312
305.0,2775,4280.07372
605.0,4719,4284.20489
945.0,4205,4288.149029
300.0,3055,4290.873456
350.0,2455,4293.06467
295.0,2199,4295.008417
600.0,3991,4298.569218
405.0,2475,4300.816518
420.0,2682,4304.947436
350.0,3022,4307.683944
1455.0,7419,4314.236238
775.0,4655,4318.544775
600.0,3889,4322.060734
370.0,3105,4324.904005
480.0,3197,4327.835301
715.0,3296,4331.235468
350.0,2515,4333.554738
355.0,3387,4338.067397
320.0,2552,4340.361638
545.0,3938,4343.826416
495.0,3769,4347.132998
410.0,2828,4349.708923
380.0,3143,4352.535807
1120.0,7247,4359.117101
390.0,2275,4361.221888
430.0,2635,4363.61147
265.0,2883,4367.797532
480.0,3397,4381.031302
640.0,3203,4383.850127
615.0,2156,4385.770283
430.0,4018,4389.289723
545.0,3753,4392.943738
500.0,3733,4396.179902
575.0,4991,4402.016493
470.0,3879,4405.461043
720.0,3911,4408.824872
1630.0,7783,4415.575452
315.0,2649,4417.857015
545.0,2576,4420.154188
345.0,3161,4422.965979
460.0,2923,4425.529958
335.0,2975,4428.19601
440.0,3241,4432.61055
420.0,3191,4435.400724
685.0,3365,4438.559511
770.0,4335,4442.470776
460.0,3217,4445.393581
600.0,3893,4448.704156
325.0,3063,4451.969861
625.0,2637,4454.320436
365.0,3127,4457.126822
400.0,2544,4459.397059
455.0,3169,4463.754107
730.0,4276,4467.510372
600.0,4591,4471.501949
465.0,3661,4486.663225
375.0,2855,4489.107096
290.0,2567,4491.398748
1160.0,7083,4499.56968
395.0,3526,4502.685884
420.0,2823,4505.266265
640.0,2835,4507.822605
745.0,3379,4510.867293
345.0,2713,4513.258322
335.0,2220,4515.2008
1010.0,8153,4522.418891
680.0,3281,4526.842198
555.0,2967,4529.508111
775.0,3941,4532.99434
630.0,4357,4536.810812
775.0,6759,4543.005449
480.0,3173,4545.797529
600.0,4147,4549.434881
725.0,4655,4553.56189
610.0,2871,4557.690127
320.0,2841,4560.277986
610.0,2813,4562.819974
515.0,4063,4566.527107
510.0,2593,4568.799217
735.0,4683,4573.450509
275.0,2897,4575.980925
375.0,3923,4579.417805
555.0,3405,4599.024471
385.0,3653,4602.886853
785.0,5475,4607.748449
510.0,3505,4610.84201
480.0,3535,4613.937799
540.0,4507,4619.393896
545.0,3496,4622.483027
590.0,3745,4625.929042
390.0,2409,4628.0549
805.0,3899,4631.519986
380.0,2927,4634.129646
785.0,4781,4638.310868
610.0,3521,4641.498496
1315.0,8145,4648.629806
280.0,3117,4652.939749
570.0,4285,4656.666728
895.0,7013,4663.095467
545.0,5607,4667.998232
870.0,4135,4671.65343
500.0,3839,4675.009297
600.0,3809,4678.364809
605.0,3531,4683.118332
715.0,3841,4686.634524
685.0,4049,4690.317759
585.0,3391,4705.412411
845.0,5897,4710.580971
975.0,5329,4716.765165
605.0,4329,4720.515113
545.0,3287,4723.903897
800.0,4593,4727.876755
800.0,5187,4732.381578
545.0,4533,4736.372466
600.0,4721,4740.577749
800.0,4053,4745.75998
805.0,4073,4749.361966
245.0,2205,4751.299403
655.0,3465,4754.3804
755.0,4762,4758.508546
660.0,5419,4763.372815
365.0,2583,4765.73109
450.0,3661,4769.038172
585.0,3817,4772.467726
740.0,4630,4778.1333
610.0,3419,4781.218898
1070.0,7031,4787.681072
715.0,3617,4790.915622
1095.0,6181,4796.3652
570.0,4876,4816.419613
545.0,3703,4819.617267
545.0,3765,4823.005666
775.0,3898,4826.742557
525.0,4661,4830.846351
660.0,3265,4833.725298
515.0,3943,4837.111213
545.0,4207,4842.442056
515.0,4016,4846.130176
510.0,3819,4849.666022
525.0,3585,4852.859062
715.0,3917,4856.332166
440.0,4101,4859.972787
600.0,3359,4862.934084
475.0,3845,4866.31823
800.0,4277,4871.617567
320.0,2797,4874.147366
720.0,4558,4878.178004
320.0,2379,4880.333259
650.0,3953,4883.874153
490.0,4323,4887.641658
720.0,4361,4891.51847
545.0,3814,4894.909418
480.0,2540,4897.142884
730.0,4703,4901.353614
415.0,2433,4905.191011
335.0,2815,4907.691151
1175.0,8101,4928.730805
490.0,3649,4932.444211
630.0,3701,4937.234266
485.0,3489,4940.302567
790.0,4517,4944.237368
720.0,3673,4947.400992
760.0,4333,4951.197838
370.0,2497,4953.420028
805.0,4073,4957.076794
265.0,2753,4959.688992
915.0,6587,4967.11968
685.0,3287,4970.104736
335.0,3092,4972.916817
495.0,4081,4976.549371
505.0,4609,4980.609808
515.0,3639,4983.862901
570.0,4251,4987.612238
805.0,4985,4992.075972
490.0,4703,4997.738839
600.0,4423,5001.673045
730.0,4608,5005.822979
310.0,2647,5008.173187
185.0,1851,5009.871798
700.0,3747,5013.204332
510.0,4097,5016.859763
800.0,5023,5035.200988
275.0,2707,5038.096062
435.0,2581,5040.574611
600.0,4019,5044.25484
340.0,3838,5047.761247
340.0,2145,5049.741592
675.0,3265,5053.120288
490.0,3361,5056.128824
525.0,4167,5061.357144
525.0,4322,5065.240448
605.0,5447,5070.155332
545.0,4258,5073.969045
1095.0,7981,5081.339352
405.0,3575,5084.676287
470.0,3887,5088.202158
340.0,3211,5092.723869
800.0,4693,5097.075844
450.0,2769,5099.548644
745.0,5134,5104.26711
570.0,4680,5108.577448
545.0,4594,5112.731411
705.0,4393,5116.651679
515.0,3213,5119.574589
800.0,5379,5125.995455
370.0,2737,5128.457707
975.0,4889,5145.554467
635.0,3948,5149.056457
605.0,3375,5152.224476
335.0,2156,5155.759096
580.0,2384,5158.323565
635.0,4003,5162.007595
1430.0,8231,5169.542353
685.0,3499,5173.121618
600.0,3961,5176.686209
545.0,4661,5180.839412
355.0,2830,5183.415334
545.0,3628,5188.200458
510.0,3291,5191.187258
545.0,3716,5194.543499
570.0,3818,5197.95901
475.0,3313,5200.841952
695.0,3779,5204.363223
575.0,3652,5207.534385
415.0,2425,5209.635824
495.0,4051,5213.172253
695.0,4525,5218.614696
475.0,3661,5222.032541
600.0,5743,5227.185514
575.0,3450,5230.278394
800.0,4077,5233.907305
570.0,4413,5237.753287
600.0,4467,5255.368799
605.0,3485,5258.509232
495.0,3281,5261.686968
745.0,4525,5265.789799
915.0,3201,5268.532634
330.0,2984,5271.189592
545.0,4095,5274.816326
585.0,4039,5278.334967
515.0,3394,5283.026309
510.0,2559,5285.366279
1255.0,7865,5292.723811
575.0,5645,5297.663291
600.0,4495,5301.591158
525.0,4704,5305.694703
525.0,3798,5308.996089
400.0,3749,5313.865805
480.0,3505,5316.957848
530.0,3115,5319.664393
605.0,3253,5322.561844
525.0,3832,5325.968318
515.0,4169,5329.586607
325.0,2416,5331.681106
475.0,3633,5334.943426
575.0,3945,5338.391136
570.0,3994,5342.021292
490.0,4197,5347.373797
725.0,3660,5361.274146
530.0,4395,5365.139534
320.0,3487,5368.599504
755.0,4361,5372.510386
610.0,3491,5377.05098
600.0,3529,5380.133143
935.0,3820,5383.484895
310.0,2455,5385.653123
455.0,4009,5389.128887
545.0,5164,5393.915452
1285.0,7045,5400.395249
745.0,3571,5403.581124
600.0,4113,5408.834029
485.0,4163,5413.040528
725.0,4214,5416.870531
1135.0,6935,5423.031791
575.0,4196,5426.705858
285.0,2835,5429.194503
695.0,3313,5432.096235
570.0,4641,5436.173212
1320.0,7143,5444.082239
570.0,4407,5447.968969
1725.0,7981,5470.940056
700.0,3817,5474.639473
525.0,4139,5478.278505
1955.0,10247,5487.213379
1050.0,7229,5493.517902
800.0,5689,5498.542114
690.0,3665,5503.517763
605.0,4197,5507.377905
800.0,3483,5510.432775
600.0,4205,5514.170877
895.0,7691,5521.057871
1555.0,8919,5528.917054
1715.0,10895,5540.476264
380.0,3009,5543.169505
980.0,6805,5549.076627
605.0,4095,5552.683953
610.0,3139,5555.454592
200.0,2585,5557.864586
800.0,4125,5561.619131
970.0,7864,5588.294804
485.0,3343,5591.738546
500.0,4547,5597.36864
610.0,3313,5600.393191
450.0,4245,5604.18486
1255.0,7065,5610.432611
770.0,5551,5615.385901
900.0,7067,5621.665836
585.0,4925,5625.996364
295.0,2455,5629.748499
605.0,4831,5634.228087
480.0,3697,5637.674055
470.0,3559,5640.880041
1190.0,7991,5648.149406
365.0,3311,5651.38591
575.0,3820,5654.905534
605.0,4389,5660.299622
450.0,2857,5662.909723
465.0,4733,5667.060299
470.0,2913,5669.64464
310.0,3111,5672.483665
600.0,4129,5676.048382
575.0,3896,5692.674335
700.0,3701,5695.939413
520.0,4125,5699.895769
575.0,4351,5703.797664
135.0,1867,5705.516882
680.0,4393,5709.437867
1095.0,6419,5715.193701
725.0,3901,5718.720001
1085.0,7459,5727.037794
490.0,4163,5730.727617
700.0,4773,5734.998385
500.0,4507,5738.974364
1000.0,4311,5742.863428
545.0,3045,5745.584265
595.0,2879,5748.180332
435.0,3564,5751.369436
340.0,3177,5755.943758
510.0,4019,5759.600179
585.0,2988,5762.27428
600.0,4309,5766.140495
645.0,4145,5769.778502
485.0,3265,5773.055261
525.0,3795,5776.532792
390.0,3525,5779.700567
265.0,3397,5782.809954
1205.0,8716,5806.395901
605.0,4329,5810.293261
715.0,3759,5813.660709
725.0,3265,5818.343089
605.0,4063,5821.995828
495.0,4139,5825.828504
575.0,4640,5829.949154
450.0,3093,5832.742256
495.0,3985,5836.208844
1375.0,7820,5843.011686
550.0,4044,5846.587527
745.0,3829,5851.543595
1205.0,8543,5859.180688
690.0,3649,5862.479908
550.0,3422,5865.527548
545.0,3607,5868.709004
870.0,3901,5872.185603
1270.0,6603,5878.124485
715.0,3497,5882.842126
365.0,3157,5885.78466
750.0,4249,5889.517543
500.0,4037,5893.504488
510.0,4032,5909.4244
1270.0,8831,5918.605366
580.0,3652,5922.04465
600.0,3907,5925.539257
410.0,2455,5927.703002
175.0,1947,5929.420495
915.0,4625,5933.551408
745.0,3346,5936.560151
600.0,4731,5940.737434
600.0,4917,5946.736868
895.0,7271,5953.273528
745.0,3856,5956.650804
605.0,4901,5960.913554
715.0,3994,5964.463099
575.0,4334,5968.240336
545.0,2932,5970.853405
800.0,3367,5973.800206
605.0,4213,5978.985939
540.0,3785,5982.309541
655.0,3633,5985.477707
525.0,3843,5988.881311
545.0,3727,5992.205252
745.0,3649,5995.639007
600.0,4167,5999.204538
525.0,3894,6002.691825
725.0,3245,6020.510974
435.0,3607,6023.691593
800.0,4773,6028.072769
600.0,3999,6031.523808
600.0,4255,6035.280015
600.0,4815,6041.038037
245.0,2923,6043.617732
520.0,5241,6048.205988
810.0,6333,6053.940575
775.0,5225,6058.554834
600.0,4901,6062.858368
495.0,3613,6066.14524
405.0,2996,6070.387058
1385.0,6134,6075.858092
550.0,3674,6079.0535
1095.0,7433,6085.717614
490.0,4183,6089.347226
600.0,4197,6092.993361
545.0,3933,6096.45905
640.0,4011,6100.049832
545.0,4779,6105.896014
430.0,3345,6108.858169
380.0,3013,6111.547606
600.0,4785,6135.403368
570.0,4678,6139.548772
575.0,4193,6143.250579
525.0,3690,6146.56431
695.0,3473,6149.671959
600.0,3551,6152.837351
575.0,3549,6155.983244
600.0,3669,6159.250215
570.0,4000,6162.800822
535.0,3686,6167.685571
625.0,3973,6171.251223
950.0,4011,6174.816638
545.0,5100,6179.208488
545.0,4739,6183.463078
775.0,3408,6186.529267
540.0,2995,6189.149506
810.0,3757,6192.53545
570.0,4566,6198.134611
605.0,3533,6201.23631
1470.0,8183,6208.425252
520.0,3967,6211.934523
545.0,3913,6215.33263
630.0,4001,6218.802217
800.0,4455,6222.742575
860.0,5887,6245.454864
660.0,3505,6248.566264
470.0,3245,6251.71821
1015.0,6023,6257.07982
1125.0,6281,6264.152301
775.0,3797,6267.958447
530.0,3865,6271.445967
775.0,3741,6274.77484
940.0,5663,6279.673848
485.0,4127,6283.278794
750.0,3547,6286.578132
570.0,5096,6292.618342
575.0,4487,6296.54162
775.0,6955,6302.655272
575.0,4531,6306.7829
570.0,3365,6309.756578
1220.0,7963,6316.790502
575.0,4453,6320.743486
470.0,3669,6325.521864
745.0,3961,6329.046909
1000.0,5037,6333.52097
450.0,3269,6336.501561
585.0,4085,6355.251191
515.0,4000,6359.068381
570.0,4183,6362.727413
235.0,2479,6365.000432
745.0,3987,6368.574016
545.0,3784,6371.82589
285.0,1865,6373.509371
600.0,3237,6376.288083
475.0,3617,6379.468933
600.0,5079,6383.885761
1315.0,8217,6392.980097
305.0,2453,6395.182591
200.0,2195,6397.098876
565.0,3022,6399.746154
740.0,3922,6403.357451
570.0,4503,6407.295159
120.0,1469,6408.60092
35.0,1107,6409.592837
460.0,3371,6412.662519
450.0,3591,6417.479577
310.0,2421,6419.624695
605.0,3409,6422.631182
755.0,4361,6426.465622
1175.0,8193,6433.591589
775.0,3230,6436.418314
600.0,4505,6440.355197
825.0,6193,6457.960397
880.0,4479,6461.812453
850.0,6339,6467.850809
855.0,6051,6473.18937
800.0,4779,6477.438016
600.0,3993,6482.473256
745.0,3851,6485.955515
555.0,3885,6489.363492
525.0,3873,6492.770903
460.0,3681,6495.997141
460.0,3217,6498.795193
515.0,3872,6502.207881
600.0,3695,6505.385481
515.0,3769,6509.198081
575.0,3457,6513.778388
985.0,6141,6519.277913
575.0,4178,6523.045989
685.0,4345,6526.89071
605.0,4173,6530.540202
575.0,4254,6534.255369
600.0,4081,6537.790916
370.0,2565,6540.066436
520.0,3823,6545.049016
1130.0,8803,6566.671258
575.0,4613,6570.664189
770.0,3991,6575.698075
805.0,3929,6579.131491
1345.0,7407,6585.614446
405.0,4225,6589.359656
1120.0,7217,6595.602276
800.0,3741,6598.808666
1235.0,8589,6607.978459
480.0,4579,6612.028862
600.0,4711,6616.131472
450.0,3309,6618.983114
565.0,3415,6622.030945
600.0,4233,6625.752635
600.0,4481,6630.032379
775.0,4429,6633.922669
575.0,3977,6638.908879
635.0,4501,6642.85272
1455.0,6555,6648.684497
600.0,3909,6652.135502
485.0,3455,6655.436074
610.0,3631,6658.630424
600.0,4901,6681.045494
1240.0,8811,6689.088885
800.0,4265,6692.805815
430.0,3852,6696.170713
540.0,3757,6701.039026
600.0,3793,6704.439585
555.0,3820,6707.814497
350.0,2375,6709.969979
945.0,3301,6712.955881
545.0,3116,6715.712459
885.0,4113,6719.35564
465.0,4929,6723.747654
870.0,3041,6726.556548
805.0,4073,6730.126624
545.0,3873,6735.132385
600.0,4321,6738.979012
810.0,4965,6743.381629
500.0,2945,6746.01062
600.0,3633,6749.612422
385.0,3307,6752.508317
1200.0,4533,6756.533092
1175.0,7309,6764.561383
1200.0,7087,6770.813298
545.0,3363,6785.327087
1345.0,8823,6793.575919
800.0,3701,6798.350395
495.0,4017,6801.892054
805.0,3669,6805.131261
775.0,3422,6808.125538
515.0,3983,6811.682199
430.0,3225,6814.561403
575.0,3506,6817.690477
545.0,3326,6820.628359
775.0,4413,6824.635202
575.0,4603,6830.249381
570.0,4463,6834.134643
800.0,4349,6838.076227
555.0,3889,6841.494045
310.0,3233,6844.370515
580.0,4043,6847.953185
600.0,3717,6851.235467
800.0,3877,6854.863041
745.0,3834,6859.790771
420.0,3999,6863.462797
745.0,4204,6867.226669
570.0,3290,6870.633628
575.0,3738,6874.021558
490.0,3697,6877.310976
485.0,4457,6896.713903
1025.0,7225,6903.433959
545.0,3446,6906.489505
600.0,4109,6910.05319
715.0,3739,6913.350942
530.0,4385,6917.351825
515.0,4342,6922.628848
315.0,3443,6925.666387
545.0,3514,6928.640882
525.0,3640,6931.830361
570.0,4530,6935.833992
1185.0,8288,6943.094558
600.0,3829,6946.510336
745.0,4146,6950.156556
485.0,3677,6955.101862
1010.0,3551,6958.311283
800.0,4213,6962.039944
600.0,3873,6965.504886
545.0,3479,6968.522962
570.0,3607,6971.73274
770.0,3603,6974.883559
600.0,3537,6977.985407
495.0,3521,6981.115072
805.0,3859,6986.042113
1000.0,4561,7002.776073
515.0,3285,7005.70715
515.0,3347,7008.636755
935.0,6211,7014.139078
570.0,3671,7018.85203
505.0,2419,7020.969826
660.0,5119,7025.597406
880.0,4899,7030.084448
570.0,3244,7033.078979
730.0,3639,7036.320563
600.0,4299,7040.019449
600.0,4545,7044.090852
800.0,3685,7048.925467
600.0,4659,7053.113273
610.0,4591,7057.204291
600.0,3725,7060.454479
555.0,3953,7063.939337
800.0,4649,7067.96484
925.0,3515,7071.041865
800.0,4617,7075.127036
800.0,3901,7080.040802
575.0,4247,7083.819766
250.0,2553,7086.089107
1075.0,6559,7091.846729
475.0,3489,7094.980758
470.0,3923,7111.479479
575.0,4487,7115.427053
600.0,3993,7118.88671
605.0,3457,7121.941007
300.0,3145,7125.057354
475.0,4001,7128.547719
