#{"t_start": 1736976260.7426088, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
60.0,1743,238.894913
435.0,2957,241.190504
80.0,1895,242.422215
220.0,2397,244.010144
85.0,1211,244.841837
210.0,2287,246.388519
90.0,1777,247.537053
180.0,1935,248.807388
295.0,2537,250.467489
160.0,1511,251.452725
195.0,4789,254.953009
210.0,4037,257.671158
215.0,2011,259.002639
160.0,2189,260.425284
140.0,2327,262.01531
410.0,2455,265.210581
140.0,2131,266.63166
370.0,1923,267.870703
270.0,2993,270.077337
135.0,2305,271.644583
60.0,1155,272.394942
165.0,2121,273.760402
120.0,2069,275.11504
65.0,1751,276.283129
65.0,1371,277.191789
90.0,2383,278.781758
105.0,1859,280.036719
195.0,2987,281.953709
115.0,2277,283.445709
180.0,2365,285.311574
45.0,1149,286.077301
440.0,4131,291.815192
110.0,1549,292.758449
250.0,2733,294.461504
80.0,1239,296.846128
155.0,1913,298.077715
50.0,1187,298.841408
135.0,1969,300.501603
180.0,2467,302.150612
115.0,3405,304.478615
45.0,1173,305.285817
385.0,2895,307.210476
50.0,1589,308.237512
135.0,1861,309.454066
105.0,1861,310.686324
110.0,2205,312.142083
10.0,1307,312.97546
30.0,1161,313.722012
105.0,1957,315.29068
105.0,1709,316.452771
180.0,2093,317.827619
55.0,1185,318.628599
335.0,2385,320.196183
110.0,1915,321.462358
45.0,1181,322.223759
355.0,2403,323.802734
105.0,1229,324.622585
155.0,2099,326.051731
50.0,1843,328.862257
105.0,1979,330.509529
180.0,2453,332.196286
95.0,1905,333.45535
65.0,1375,334.341928
180.0,2753,336.175143
155.0,2623,337.971511
135.0,2385,339.560446
210.0,2383,341.132943
105.0,1879,342.38553
290.0,2223,343.875703
210.0,2391,345.793607
255.0,2663,347.561255
155.0,2415,349.158851
230.0,2881,351.081439
180.0,2475,352.744544
105.0,1913,354.002604
105.0,1973,355.312376
180.0,2387,356.899204
725.0,4861,361.90456
110.0,1917,363.189539
55.0,1515,364.225633
160.0,2523,369.251532
380.0,2461,370.809591
80.0,1183,371.570059
110.0,2051,372.928874
120.0,2309,374.785064
80.0,1607,375.907476
80.0,1529,376.890133
280.0,2873,378.805977
150.0,2353,380.36022
210.0,2447,381.997419
105.0,2251,383.471825
520.0,3955,386.172312
210.0,2567,387.906908
110.0,1961,391.033517
120.0,2341,392.587882
105.0,1851,393.811947
75.0,1813,394.999988
60.0,1271,395.844919
65.0,1163,396.63581
525.0,2839,398.500333
120.0,1937,399.822402
105.0,1981,401.16199
175.0,2277,402.735899
105.0,2277,404.490921
180.0,2639,406.346176
95.0,1737,407.466588
210.0,2551,409.153746
410.0,3989,411.816188
155.0,2033,413.1769
225.0,2471,414.830616
50.0,1117,415.597212
80.0,1257,416.421368
150.0,2321,418.020494
105.0,1809,419.562651
110.0,1905,420.836101
135.0,2361,424.027668
185.0,2395,425.722269
105.0,1919,427.157934
210.0,2503,428.917618
35.0,1699,430.08317
335.0,2459,431.842442
235.0,2753,433.657241
260.0,2841,435.856375
460.0,2907,437.818737
120.0,1899,439.068605
210.0,2393,440.652683
100.0,2413,445.794224
270.0,2961,447.614271
440.0,4099,450.671067
155.0,2343,452.229918
265.0,2905,455.745654
230.0,3091,457.854082
15.0,1759,459.049298
110.0,2299,460.57629
210.0,2541,462.291029
105.0,1939,463.617452
185.0,2435,465.616144
410.0,2563,467.416682
105.0,1927,468.727986
155.0,2407,470.324935
65.0,1211,471.133834
225.0,2823,473.017517
270.0,2939,474.969098
65.0,1205,475.787691
160.0,2797,477.648465
215.0,2035,479.281949
45.0,1209,480.125853
155.0,2259,481.670557
