,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_target_kl,params_vf_coef,user_attrs_gamma,state
0,0,700.4531174000001,2025-02-03 11:01:50.166090,2025-02-03 11:02:11.426868,0 days 00:00:21.260778,tanh,12,0.11071131088191051,0.0007097690215965953,0.9427647367795864,0.9726639695629083,0.0005083879916179719,2.950100557966257,8,7,tiny,0.09065851058935442,0.8209664454879265,0.9726639695629083,COMPLETE
1,1,-737.6233288000001,2025-02-03 11:02:11.427882,2025-02-03 11:02:32.644702,0 days 00:00:21.216820,relu,12,0.13657350194459134,0.05509152900906469,0.9854008192175028,0.9691647116874714,0.0001715130951368987,2.792326278439392,7,11,small,0.024583887569358323,0.6530867597527124,0.9691647116874714,COMPLETE
2,2,538.2403408,2025-02-03 11:02:32.645751,2025-02-03 11:02:53.651010,0 days 00:00:21.005259,tanh,9,0.19427384188227836,0.00010791278440350766,0.9859478932808863,0.9919842370641794,0.0001849174108885008,3.2737458717937553,3,7,small,0.04719151849483099,0.5359563185500799,0.9919842370641794,COMPLETE
3,3,,2025-02-03 11:02:53.652374,2025-02-03 11:03:14.060189,0 days 00:00:20.407815,relu,9,0.29424786903925926,0.0006002352472277986,0.8195967960073967,0.9726677086070475,0.00015928069015988926,3.937776410508488,8,12,small,0.0337605052506633,0.7210584167017301,0.9726677086070475,FAIL
