,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_target_kl,params_vf_coef,user_attrs_gamma,state
0,0,-972.7184275,2025-02-03 13:58:47.519511,2025-02-03 13:59:13.876857,0 days 00:00:26.357346,relu,12,0.10910933130799667,0.033200653367127915,0.9635189805670801,0.935461027729166,0.0007067988104383299,2.6452418023398754,6,11,tiny,0.13641056187159112,0.9480878191125699,0.935461027729166,COMPLETE
1,1,-431.9001692999999,2025-02-03 13:59:13.878605,2025-02-03 13:59:57.043944,0 days 00:00:43.165339,tanh,8,0.13192674299741314,0.032220902781740765,0.9394043869554722,0.9046760614306664,0.0002055967181689231,1.7883673283300021,3,12,small,0.13050865317554308,0.5288984697522847,0.9046760614306664,COMPLETE
2,2,427.8931751,2025-02-03 13:59:57.048331,2025-02-03 14:00:37.315393,0 days 00:00:40.267062,tanh,9,0.2753973080494967,0.0023673435577211167,0.8991543729675632,0.9691787617470763,0.00017569499149529827,1.8325326044048331,6,8,small,0.1953857487129633,0.9823439747791057,0.9691787617470763,COMPLETE
3,3,-572.5920905,2025-02-03 14:00:37.317992,2025-02-03 14:01:18.702627,0 days 00:00:41.384635,relu,9,0.16877190851686646,0.002321671498500456,0.8752562165540225,0.9818126477626412,4.144545587333671e-05,4.767657782073801,7,12,tiny,0.04363533438480709,0.23108332091061734,0.9818126477626412,COMPLETE
4,4,-10592.912250200001,2025-02-03 14:01:18.704681,2025-02-03 14:01:52.580304,0 days 00:00:33.875623,relu,12,0.23353871264840434,0.00017002595250324067,0.9974411007542536,0.9596160876174075,0.0005302012010528796,0.3703095933970968,4,12,tiny,0.08281012189689142,0.9903406872370756,0.9596160876174075,COMPLETE
5,5,-1111.2756249,2025-02-03 14:01:52.582284,2025-02-03 14:02:28.884433,0 days 00:00:36.302149,tanh,10,0.2932776853283859,0.001368687053496368,0.8075889486472323,0.9978769451403182,1.32292656588877e-05,1.2518190101601063,10,7,small,0.19399064650176662,0.6844134842470546,0.9978769451403182,COMPLETE
6,6,519.7438988,2025-02-03 14:02:28.886296,2025-02-03 14:03:07.894697,0 days 00:00:39.008401,tanh,8,0.2969487692161428,0.000258043670608356,0.8765429336612828,0.9511990183607398,0.00010013779455417526,3.97905211589969,7,8,small,0.19360041072359918,0.6873928497507584,0.9511990183607398,COMPLETE
7,7,97.6750099,2025-02-03 14:03:07.896450,2025-02-03 14:03:43.025723,0 days 00:00:35.129273,tanh,8,0.22083460396797056,0.00011571629058911026,0.8458178317477052,0.9316555207513636,5.062790379983176e-05,4.564280955769083,9,9,small,0.013110474218391538,0.5845797754236653,0.9316555207513636,COMPLETE
8,8,-780.6260687000001,2025-02-03 14:03:43.027883,2025-02-03 14:04:14.290751,0 days 00:00:31.262868,tanh,10,0.25419506545239656,0.0004116970632537898,0.8445360215439245,0.9379429424073711,1.1775674667712725e-05,3.618368551076356,8,10,small,0.15678611052291605,0.31392446239932675,0.9379429424073711,COMPLETE
9,9,12.658493399999987,2025-02-03 14:04:14.292516,2025-02-03 14:04:50.883792,0 days 00:00:36.591276,tanh,11,0.17990558745626808,0.000670230281645023,0.9425311980202564,0.9132848293701632,7.068336216804576e-05,3.5412819702203366,5,7,small,0.08574055420578361,0.7221256564087937,0.9132848293701632,COMPLETE
10,10,319.77599810000004,2025-02-03 14:04:50.886620,2025-02-03 14:05:26.578968,0 days 00:00:35.692348,relu,9,0.20458804326356905,0.009286612595241515,0.8878802624305764,0.9512986463228782,0.00022375763570858535,3.6385593519171584,8,9,tiny,0.16101032553961458,0.38885797140184675,0.9512986463228782,COMPLETE
11,11,463.542155,2025-02-03 14:05:26.581136,2025-02-03 14:06:04.989060,0 days 00:00:38.407924,tanh,9,0.29384415643631717,0.0032261059229911505,0.9138441973560534,0.9686074999768499,0.00013630546351863475,2.352659608248262,6,8,small,0.19733720462305895,0.8406738940753818,0.9686074999768499,COMPLETE
12,12,343.93525050000005,2025-02-03 14:06:04.992138,2025-02-03 14:06:45.111770,0 days 00:00:40.119632,tanh,8,0.29423152064045793,0.00844449786934714,0.9241616704234759,0.9743236736682911,0.00011340593857420942,2.558725075743452,7,8,small,0.19964758096813748,0.7925239641109004,0.9743236736682911,COMPLETE
13,13,-332.1018671999999,2025-02-03 14:06:45.114035,2025-02-03 14:07:19.846435,0 days 00:00:34.732400,tanh,9,0.2508376015084607,0.005862777097269286,0.8611662305153812,0.9555246965975971,3.0241553741858764e-05,4.085372158528569,5,8,small,0.16589779550033196,0.831560738285179,0.9555246965975971,COMPLETE
14,14,486.8627044000001,2025-02-03 14:07:19.849636,2025-02-03 14:07:57.503180,0 days 00:00:37.653544,tanh,8,0.2707394249942929,0.00047273841026293495,0.9122582282621593,0.9881455528200332,0.00034965822218187964,3.0993022219510973,5,10,small,0.1090858494648606,0.5135152913122728,0.9881455528200332,COMPLETE
15,15,225.30073899999996,2025-02-03 14:07:57.505002,2025-02-03 14:08:31.681517,0 days 00:00:34.176515,tanh,8,0.2638035066222056,0.00033425638856971715,0.810758589277482,0.9918223202866141,0.00040305060025234843,3.212624370784015,4,10,small,0.10332855252611596,0.47499786699135776,0.9918223202866141,COMPLETE
16,16,550.3710668,2025-02-03 14:08:31.683970,2025-02-03 14:09:03.297503,0 days 00:00:31.613533,tanh,11,0.23947499396137345,0.0005672688509033155,0.9708768066946171,0.9239286375045405,0.0009628433704391572,4.385699941931388,8,10,small,0.0534449924726467,0.6394029939789269,0.9239286375045405,COMPLETE
17,17,142.00200329999998,2025-02-03 14:09:03.299841,2025-02-03 14:09:33.639356,0 days 00:00:30.339515,tanh,11,0.2415724791052849,0.001049682687196983,0.9787675762225203,0.9243688533632134,0.0009448561003111663,4.264262901674509,9,11,small,0.0569026799535444,0.6287422091389773,0.9243688533632134,COMPLETE
18,18,-9983.5796789,2025-02-03 14:09:33.641167,2025-02-03 14:10:01.157521,0 days 00:00:27.516354,relu,11,0.21253628398856034,0.00023851983273652324,0.961986321483748,0.9194778300561229,2.1611258310118257e-05,4.977535772844623,8,9,tiny,0.010811342658555698,0.7352949586309043,0.9194778300561229,COMPLETE
19,19,17.223048300000002,2025-02-03 14:10:01.159315,2025-02-03 14:10:32.944805,0 days 00:00:31.785490,tanh,11,0.17990424207745426,0.0007855182448192173,0.8363754870582029,0.9430427201660734,7.489592434663836e-05,4.434461486276378,10,11,small,0.04600494243434566,0.4348142013818722,0.9430427201660734,COMPLETE
20,20,157.9385819,2025-02-03 14:10:32.946906,2025-02-03 14:11:07.807692,0 days 00:00:34.860786,tanh,10,0.22415809495759176,0.00012149348934754142,0.8755607479518219,0.9027864567897067,0.0003067689715625686,3.929345597829433,9,7,small,0.06761011516057355,0.14520385514078438,0.9027864567897067,COMPLETE
21,21,318.8373677,2025-02-03 14:11:07.810112,2025-02-03 14:11:42.350840,0 days 00:00:34.540728,tanh,8,0.2754341273982056,0.00049137259259765,0.9204659814782669,0.986094773105587,0.0004051850982685191,3.1550512298332207,7,10,small,0.11587230582481277,0.6252223295021853,0.986094773105587,COMPLETE
22,22,539.5516948000001,2025-02-03 14:11:42.352565,2025-02-03 14:12:13.560064,0 days 00:00:31.207499,tanh,10,0.2738470923197027,0.0003338978972950674,0.9053288064366279,0.9451008324809509,0.0007162907440996291,3.196594895640953,5,10,small,0.031089698073934996,0.4868732337664848,0.9451008324809509,COMPLETE
23,23,331.2502625999999,2025-02-03 14:12:13.561729,2025-02-03 14:12:47.644220,0 days 00:00:34.082491,tanh,10,0.28363937880272266,0.00026468821105972933,0.8917235582626276,0.9470501075503187,0.0008144973090927054,3.9180631907021417,8,9,small,0.03869678921460799,0.383199723559174,0.9470501075503187,COMPLETE
24,24,362.4639267,2025-02-03 14:12:47.646714,2025-02-03 14:13:19.167730,0 days 00:00:31.521016,tanh,12,0.2544893789957638,0.0014523709760762772,0.9961733765514972,0.9268970702298597,0.0004991077545194385,3.002563116201306,7,10,small,0.02698821937258003,0.5797495062840287,0.9268970702298597,COMPLETE
