,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_target_kl,params_vf_coef,user_attrs_gamma,state
0,0,-inf,2025-02-02 22:03:51.556115,2025-02-02 22:04:28.235538,0 days 00:00:36.679423,tanh,5,0.23679390317298382,0.046159673296629906,0.9363803491497291,0.985008725148051,0.006938998919157355,2.340029054463576,9,10,tiny,0.16472555769982164,0.7166482067708452,0.985008725148051,COMPLETE
1,1,-inf,2025-02-02 22:04:28.236189,2025-02-02 22:04:51.324993,0 days 00:00:23.088804,relu,8,0.21787732135520033,0.0026309025421293263,0.8285768844647702,0.9885851194503579,0.0002276573011351392,3.718860638727183,5,8,tiny,0.15681424851628362,0.8990984075228647,0.9885851194503579,COMPLETE
2,2,-inf,2025-02-02 22:04:51.325718,2025-02-02 22:05:47.879474,0 days 00:00:56.553756,tanh,5,0.2996824206488187,0.004248109192412147,0.8746576440210944,0.9746289549090711,0.0005186521768266526,1.7276569257981775,8,7,small,0.1724594825749852,0.5162895916506134,0.9746289549090711,COMPLETE
3,3,-inf,2025-02-02 22:05:47.880268,2025-02-02 22:06:09.521466,0 days 00:00:21.641198,tanh,9,0.13555078348240598,0.002195939569217557,0.9883148808532979,0.9832301720269621,0.0009693657092883588,3.798006247660093,9,10,small,0.13609190830278758,0.4378324973135773,0.9832301720269621,COMPLETE
4,4,-inf,2025-02-02 22:06:09.522409,2025-02-02 22:06:41.756683,0 days 00:00:32.234274,relu,5,0.1519693340152602,0.0003500576525264365,0.8011291233094723,0.9719439755703495,0.0003646586373807421,4.720736649598759,5,7,tiny,0.1632905959438157,0.7870919091528075,0.9719439755703495,COMPLETE
5,5,-inf,2025-02-02 22:06:41.757394,2025-02-02 22:07:03.710320,0 days 00:00:21.952926,tanh,6,0.2412285570463745,0.09945965016388848,0.9607715199338274,0.9056607704107805,0.008398287937322509,0.5248226168606722,10,12,tiny,0.036827438056470346,0.10343414115875027,0.9056607704107805,COMPLETE
6,6,-inf,2025-02-02 22:07:03.711067,2025-02-02 22:07:28.489582,0 days 00:00:24.778515,tanh,7,0.27778531466229334,0.07933325986863,0.926634758648649,0.938085466699368,0.006581890897558573,2.001517819718185,7,10,tiny,0.0762433650538533,0.6931337676614799,0.938085466699368,COMPLETE
7,7,-inf,2025-02-02 22:07:28.490369,2025-02-02 22:07:49.268046,0 days 00:00:20.777677,tanh,10,0.1840366353952319,0.017630322885488617,0.8982944267044535,0.9509725317473858,0.0028817413073019453,2.670020887651601,3,12,tiny,0.19793892012768555,0.32002253395828534,0.9509725317473858,COMPLETE
8,8,-inf,2025-02-02 22:07:49.268746,2025-02-02 22:08:08.190980,0 days 00:00:18.922234,relu,7,0.10121080407167164,0.01645260776645751,0.932247169932764,0.951139845388799,0.0016157006547529982,0.44475270122556143,10,9,small,0.1132439077186682,0.9769437398628696,0.951139845388799,COMPLETE
9,9,-inf,2025-02-02 22:08:08.191788,2025-02-02 22:08:41.866250,0 days 00:00:33.674462,tanh,6,0.24982144505941456,0.0001081663812534565,0.9996927608424179,0.99974831550711,0.00011585440609853011,2.700165031748771,7,11,tiny,0.07843383362707257,0.6803605893534976,0.99974831550711,COMPLETE
10,10,-inf,2025-02-02 22:08:41.867583,2025-02-02 22:09:01.551416,0 days 00:00:19.683833,relu,8,0.1913388022895969,0.020216370292642925,0.8678084316800931,0.9201393939285315,0.003032061109682612,1.4317148502536368,8,9,small,0.010253314760602969,0.2186700913374554,0.9201393939285315,COMPLETE
11,11,,2025-02-02 22:09:01.552054,2025-02-02 22:09:02.321505,0 days 00:00:00.769451,relu,8,0.2343651884298239,0.0018637816031676971,0.8110758243320135,0.9959215730479275,0.00011069589469824452,3.6381757979293625,5,8,tiny,0.14466956543954992,0.9213784471986559,0.9959215730479275,FAIL
