,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_target_kl,params_vf_coef,user_attrs_gamma,state
0,0,-1141.4844156999998,2025-02-12 10:24:14.863866,2025-02-12 10:24:36.240155,0 days 00:00:21.376289,relu,10,0.15204049168192146,0.0006451561395756174,0.907576507930969,0.9898663593452617,0.0001261145710865036,0.49986467847805194,9,11,small,0.13727523004755007,0.7925428339550297,0.9898663593452617,COMPLETE
1,1,-9876.4905336,2025-02-12 10:24:36.242034,2025-02-12 10:24:59.207691,0 days 00:00:22.965657,relu,10,0.2527924750168149,0.00014805968559873737,0.9401113776947629,0.9951087475091972,1.282535305270427e-05,1.207844567344613,7,11,tiny,0.0979848119030161,0.2239987740569789,0.9951087475091972,COMPLETE
2,2,421.259278,2025-02-12 10:24:59.209738,2025-02-12 10:25:28.644746,0 days 00:00:29.435008,relu,8,0.1551650376643574,0.0014899854782767826,0.9701939430540266,0.9722104613410989,2.108428792937123e-05,4.173524003161763,7,10,tiny,0.19889665121247818,0.8242943784789958,0.9722104613410989,COMPLETE
3,3,287.0904894,2025-02-12 10:25:28.646423,2025-02-12 10:25:55.283759,0 days 00:00:26.637336,tanh,8,0.27249538460013367,0.003763796247333134,0.8279543975332035,0.9764438624075247,3.1264210817620906e-05,1.89153947395951,4,7,small,0.14853229451692276,0.6405948512352938,0.9764438624075247,COMPLETE
4,4,-6811.807374000001,2025-02-12 10:25:55.285429,2025-02-12 10:26:20.921221,0 days 00:00:25.635792,relu,10,0.17087265617544614,0.0010384136396065047,0.9843956398789564,0.9368992291810987,3.6531178721909315e-05,3.684665168527503,7,8,tiny,0.11879868926644123,0.9419038355977893,0.9368992291810987,COMPLETE
5,5,530.1232789,2025-02-12 10:26:20.923465,2025-02-12 10:26:47.541613,0 days 00:00:26.618148,tanh,8,0.12320020038208934,0.05779610749577703,0.9939994362737445,0.9004453335727916,0.000930861464952198,4.559104782969512,3,9,tiny,0.01547019897932736,0.3946740097918104,0.9004453335727916,COMPLETE
6,6,448.94409299999995,2025-02-12 10:26:47.543488,2025-02-12 10:27:09.503068,0 days 00:00:21.959580,tanh,12,0.10015366683056681,0.06451582671721952,0.8419373903564404,0.9026902937039898,0.0009971044898577333,4.956833947547909,3,9,tiny,0.018909886963567442,0.27781550280839384,0.9026902937039898,COMPLETE
7,7,-167.8701847,2025-02-12 10:27:09.504668,2025-02-12 10:27:42.247338,0 days 00:00:32.742670,tanh,8,0.10393072403074693,0.09418079501706876,0.8814602079224126,0.9020913746531489,0.0008438954346368124,3.04419612310833,5,12,tiny,0.014724821580387916,0.4535500906974788,0.9020913746531489,COMPLETE
8,8,518.6644543,2025-02-12 10:27:42.248977,2025-02-12 10:28:12.077097,0 days 00:00:29.828120,tanh,12,0.20984800045298552,0.014233811249722917,0.934122143070143,0.9306759286733439,0.00024210976186547314,4.736888031847821,10,9,small,0.06207054866136657,0.45368390712420736,0.9306759286733439,COMPLETE
9,9,434.5210801,2025-02-12 10:28:12.078643,2025-02-12 10:28:39.129848,0 days 00:00:27.051205,tanh,9,0.21106778219042716,0.014870664092416922,0.9953576543209881,0.92037849584673,0.0002920041017090739,2.673207244415546,5,7,tiny,0.06197537763343659,0.11043779414896476,0.92037849584673,COMPLETE
10,10,404.83889189999996,2025-02-12 10:28:39.132016,2025-02-12 10:29:06.009688,0 days 00:00:26.877672,tanh,9,0.2989476828443731,0.018132046412003614,0.8677289181408735,0.9574834724802788,0.0004380008800112846,3.4138716367034063,3,10,small,0.05601366443082672,0.5687317842806489,0.9574834724802788,COMPLETE
11,11,390.560357,2025-02-12 10:29:06.012177,2025-02-12 10:29:35.061676,0 days 00:00:29.049499,tanh,12,0.20911859823571188,0.019145698682100455,0.9385686890444433,0.9289085502227251,0.00014348141972331556,4.7497564546478035,10,9,small,0.050644476847298676,0.37422398077418517,0.9289085502227251,COMPLETE
12,12,345.4962549,2025-02-12 10:29:35.063551,2025-02-12 10:30:04.577053,0 days 00:00:29.513502,tanh,11,0.23567718096445484,0.006831051306060388,0.9549611161127598,0.9153432025505579,0.00035815529980511,4.173883587325792,9,8,small,0.08201160644539862,0.4446331896655633,0.9153432025505579,COMPLETE
13,13,402.87314449999997,2025-02-12 10:30:04.578752,2025-02-12 10:30:33.610023,0 days 00:00:29.031271,tanh,11,0.1833015034754575,0.03894950068262514,0.9047115052373808,0.946305013885574,6.600104262709832e-05,4.221056005692274,10,8,small,0.034308399118639685,0.6661342980375037,0.946305013885574,COMPLETE
14,14,417.8057933,2025-02-12 10:30:33.611916,2025-02-12 10:30:57.580784,0 days 00:00:23.968868,tanh,11,0.13240822369031244,0.00792230023114928,0.9245477412373342,0.9171446433532591,0.00020724369781885814,2.097162551311837,6,9,tiny,0.07603474563019245,0.32921395347513543,0.9171446433532591,COMPLETE
